Method,Trustworthiness,Continuity,KNN Preservation,Normalized Stress,Bray-Curtis Corr,Aitchison Corr,Jaccard Corr
PCA,0.8865949710025589,0.9251418583870632,0.0795567867036011,0.5890071392059326,0.5990286711003352,0.2375941923002333,0.5753486972567051
Jaccard PCoA,0.7618370479059844,0.8739464763995779,0.0519113573407202,0.9936648556467844,0.7064246885702633,0.0634533355443205,0.7534898100970618
MDS,0.8809494576393837,0.8781842604255732,0.0769806094182825,0.3201561944353264,0.437288383386322,0.338423925963585,0.3679580473269547
t-SNE,0.9584877172688808,0.9762805594419606,0.3211357340720221,0.3887884318828583,0.5547805595496373,0.1161177618817613,0.5170459706616806
UMAP,0.9425944377162864,0.9755702483287602,0.1916620498614958,0.7257039546966553,0.5213487942362629,-0.0075896486661078,0.4859859469558237
PaCMAP,0.9457100934060154,0.954240747155646,0.1668421052631579,0.7029957175254822,0.5766125219582463,0.1584204545518743,0.5215323952636159
PHATE,0.9243115193302788,0.946312776252115,0.1356232686980609,0.9996109968324866,0.3493198545359567,0.1107075595021314,0.319625932706986
SONG,0.9483796381745118,0.9637232706632054,0.1740997229916897,0.7787953019142151,0.4651477376042853,0.2376254720802726,0.419508585948839
