seed,nmi,ari,sil
0,0.44175012704615096,0.08765856780163879,0.16379746794700623
1,0.4800241444278554,0.12493925756555228,0.2017175257205963
2,0.4801016490540814,0.1373399291798051,0.1530570089817047
3,0.4748333148662816,0.1391037634873172,0.1586189568042755
4,0.476850327995332,0.13380642083985025,0.15113131701946259
5,0.4873671703953559,0.13845137418049383,0.19856536388397217
6,0.47725517028052267,0.13748814264412007,0.1942947804927826
7,0.4840076778242298,0.13151799765174993,0.1590936928987503
8,0.4761941473716352,0.12250732414805066,0.15315328538417816
9,0.4501607090805715,0.09289278371945499,0.18519411981105804
