seed,nmi,ari,sil
0,0.2793113183360979,0.052143063791667305,0.05971730127930641
1,0.28848204658514726,0.05254738023889991,0.05024141073226929
2,0.27862835737783387,0.0594971482134437,0.05297823250293732
3,0.2924081611264909,0.06332278593078021,0.07517548650503159
4,0.2772307801920551,0.05304759950374858,0.05006192624568939
5,0.2804675033487776,0.053983877788278234,0.05821480602025986
6,0.2868787265641896,0.06238106724230277,0.07171256095170975
7,0.27882719431729525,0.055639700782331256,0.050917770713567734
8,0.2755967814530011,0.051533959900328226,0.04552179202437401
9,0.28202767732367884,0.05563321187888978,0.047245461493730545
