Method,Trustworthiness,Continuity,KNN Preservation,Normalized Stress,Bray-Curtis Corr,Aitchison Corr,Jaccard Corr
PCA,0.7677063796682296,0.8791241851875113,0.0505817174515235,0.6088135838508606,0.6630369527576244,0.1735232032431611,0.6438025416596531
Jaccard PCoA,0.7463319730166393,0.8534544427485975,0.048781163434903,0.9910750573688636,0.7125772730171469,0.0093605503661835,0.8060971204701182
MDS,0.7725144640415162,0.8477287360768548,0.0498891966759002,0.3258272498894814,0.338202903001589,0.3416522913179005,0.290750975977031
t-SNE,0.8873151001318188,0.9373944572906668,0.2754570637119113,0.4190850555896759,0.559770923755803,0.1666623453336271,0.5845891432245232
UMAP,0.864538944347493,0.901826351354736,0.1726315789473684,0.8005115985870361,0.7003788044005639,0.0080244901212096,0.7611094182439883
PaCMAP,0.8585055345790295,0.8898840834469713,0.1334903047091412,0.7163360714912415,0.6641872726562615,0.1401032426273391,0.668417686819185
PHATE,0.8113905940477699,0.9084041909211096,0.1242382271468144,0.9995132983486732,0.6577959515530165,0.0907876441009047,0.6447787489369301
SONG,0.8550511804545957,0.8919637766069969,0.1342105263157894,0.8196377158164978,0.4566521578904213,0.1904762691966971,0.4550146546834687
