Method,Trustworthiness,Continuity,KNN Preservation,Normalized Stress,Bray-Curtis Corr,Aitchison Corr,Jaccard Corr
PCA,0.8865949555896608,0.9251418429741652,0.07955678670360111,0.5890074372291565,0.5990286453705896,0.2375941773172766,0.5753486729595786
Jaccard PCoA,0.7618386046086877,0.8739463993350876,0.051966759002770084,0.9936652382769242,0.7064246885727578,0.06345333554454542,0.7534898101915452
MDS,0.8809494576393837,0.8781842527191241,0.07698060941828255,0.320156317717748,0.4372883833862603,0.33842392596378296,0.367958047326978
t-SNE,0.9585519967602089,0.9762543189830262,0.3215789473684211,0.3891211748123169,0.5594953422647391,0.10462810406936775,0.5202065741298807
UMAP,0.9442856333679995,0.9762618635966229,0.21398891966759004,0.7826911211013794,0.5118710726874806,-0.009986223093117214,0.5105605080434638
PaCMAP,0.9477581670056862,0.9562681751783754,0.16634349030470913,0.7003065943717957,0.5618619495471937,0.16224074179015538,0.5070074348453643
PHATE,0.9205880020607045,0.9452721513207505,0.13321329639889196,0.9996109893832938,0.34708921662539727,0.10993224369762601,0.3168733094124852
SONG,0.9423412192141811,0.9596042969618481,0.15085872576177287,0.7580314874649048,0.335135794409474,0.24660283925993506,0.30818433340544166
