seed,nmi,ari,sil
0,0.1633213162904067,0.07321953119277892,0.05140362307429314
1,0.1324404400804516,0.05025411881985226,0.039186011999845505
2,0.13372973897812968,0.05817290742694753,0.03604643791913986
3,0.1505529652778534,0.0601385003883094,0.05140778049826622
4,0.18250022640397548,0.10765630622577638,0.036899011582136154
5,0.18385193249527995,0.11552328231263682,0.04873370751738548
6,0.18840744243952515,0.08644172425052493,0.05303201079368591
7,0.18806327095897343,0.09455901804243233,0.05404725298285484
8,0.14515962806140392,0.07860542453856585,0.04716886579990387
9,0.16725490312805727,0.07131798507516098,0.04279375076293945
