Method,NMI,ARI,Silhouette_cosine
KMeans (Jaccard PCoA),0.08780169364374728,0.04029346804243867,0.025672325864434242
KMeans (MDS),0.07171146175751889,0.02737055996718738,0.009193177334964275
KMeans (PCA),0.09374873129753346,0.04164812702255142,0.02235260233283043
KMeans (PHATE),0.1793296928245264,0.10592793000174915,0.03851033002138138
KMeans (PaCMAP),0.16189482543603637,0.10192537637873733,0.05522647127509117
KMeans (SONG),0.1761219649667004,0.10047454370144383,0.03885830193758011
KMeans (UMAP),0.19926469089250617,0.12305768259036037,0.04423224925994873
KMeans (t-SNE),0.1908353305130424,0.10650978649247374,0.04027406498789787
KNN+DMoN,0.102980141664224,0.04077858887084189,0.01787620224058628
KNN+MinCutPool,0.036907581570748894,0.04481516360656563,0.1195649579167366
