Method,Trustworthiness,Continuity,KNN Preservation,Normalized Stress,Bray-Curtis Corr,Aitchison Corr,Jaccard Corr
PCA,0.7860615817488288,0.8165449825233143,0.1408983451536643,0.6535424590110779,0.7612861080473373,0.13020586967908068,0.747221340961544
Jaccard PCoA,0.7729893109399701,0.7378299902826727,0.13191489361702127,0.9904566064161672,0.8437732839491048,-0.0483328706163196,0.841916186811678
MDS,0.7698350955053735,0.8216281599443067,0.12671394799054372,0.3590844073196632,0.3654322058871566,0.3334078219546242,0.36955220305935027
t-SNE,0.8617134403689684,0.8952884015721765,0.33286052009456263,0.5433366894721985,0.4199161912863298,0.2873903157390235,0.42468754802926645
UMAP,0.8359100204498977,0.8893663432392058,0.28936170212765955,0.8861344456672668,0.5514690423937845,0.2331550809830852,0.5538189449806777
PaCMAP,0.8586798938345734,0.7907786914966134,0.24728132387706855,0.7647562026977539,0.7163394337968393,0.06681733250428676,0.7072351831572428
PHATE,0.8147662765232273,0.8814230808278583,0.23995271867612294,0.9976581576756643,0.5665607474759499,0.21260709722576426,0.5865550619980461
SONG,0.8674475336843174,0.8400829598688886,0.27872340425531916,0.9005028009414673,0.669755364152,0.18652449002617041,0.6735185271960445
