,Dim1,Dim2
1,-1.6115423,-2.5265524
2,-1.7064481,-2.9966106
3,-1.2537868,-6.3363957
4,-1.4702936,-4.2207575
5,-1.6964757,-2.6801906
6,-1.791634,-2.9051569
7,-1.8761793,-3.0839336
8,-1.2587031,-6.436963
9,-1.1409894,-6.0362444
10,-3.945599,1.1987785
11,-3.99902,0.5729018
12,-3.0337155,0.6107728
13,-3.5156221,-0.23973346
14,-1.9456444,-2.7341552
15,-1.7705426,-2.9087124
16,-1.6661524,-3.926213
17,-1.0518909,-4.7955875
18,-1.8566601,-2.7010076
19,-1.707241,-3.1184068
20,-1.3915098,-4.3769884
21,-2.0030553,-2.6732001
22,-2.2983966,-1.2055709
23,0.8759971,3.2077692
24,1.6705775,3.2000139
25,1.4061794,2.8555028
26,-4.6648855,0.6008105
27,-4.4721003,0.8394824
28,-4.360386,0.15612198
29,-3.7519202,-0.7612423
30,-4.260987,-0.3736945
31,-4.289767,-0.7084487
32,-1.7771413,1.4888494
33,-1.7657692,0.87433887
34,-1.9652452,1.1248218
35,-1.4951315,0.88303024
36,-1.9391198,1.508111
37,-1.0277321,1.0444316
38,-1.4897801,1.4158071
39,-1.464504,-6.800658
40,0.7313522,1.0722262
41,0.48287463,1.2725105
42,-0.15296197,1.3331205
43,0.00062092976,1.3593937
44,2.231497,3.0280833
45,1.6009572,1.371005
46,1.3526789,-0.057411008
47,0.51605886,1.4882718
48,1.6382425,2.2752604
49,-0.46283716,1.4277289
50,-1.0813497,-5.7324753
51,-2.6065826,-0.13791049
52,-3.891008,-0.056268543
53,-2.8003774,0.24227904
54,1.4876312,2.3972647
55,-0.7124528,0.9701142
56,-1.1344322,0.1685739
57,-2.5159914,-0.19070832
58,2.257215,1.4586234
59,-1.9657879,0.47976068
60,-1.7651587,-0.4737925
61,-1.3901646,-0.033495754
62,-1.1632655,0.27605534
63,-1.0047194,0.21954423
64,-1.9683124,-0.29732725
65,4.3104205,5.190333
66,3.3908286,5.409321
67,4.2902393,5.1004586
68,4.6977515,4.8573613
69,4.3321304,4.900152
70,3.654954,5.3296847
71,0.34765255,2.961748
72,3.5060194,3.4269426
73,4.3680835,2.855292
74,4.325251,4.7494526
75,3.8672984,5.275128
76,4.153027,5.1812606
77,-2.6844306,3.0049653
78,-2.478229,1.7705364
79,-2.8681679,2.321158
80,-2.327975,-1.6772269
81,-2.870064,2.2796402
82,1.5084391,3.1735852
83,3.9817119,5.101959
84,-1.6948434,1.7964563
85,-0.36785108,2.5751555
86,3.3323839,4.3150725
87,4.122147,3.7316577
88,4.131283,4.1312885
89,4.120912,4.0327606
90,-0.76893413,2.2174487
91,4.406103,1.9351531
92,0.5970711,1.6711212
93,1.815176,2.918883
94,2.333554,2.0166602
95,-2.3692536,2.2068472
96,-3.5083869,2.0670245
