,Dim1,Dim2
H10,15.016317,4.4986143
H11,14.988632,4.465382
H12,14.892929,4.4480414
H13,15.035753,4.5217566
H14,15.028187,4.5898776
H15,15.011127,4.5593777
H16,15.015634,4.4837756
H17,15.082849,4.591515
H18,14.985983,4.7046275
H19,14.907847,4.4296856
H1,15.001822,4.4278355
H20,14.9492445,4.4718637
H21,15.016133,4.583284
H22,15.026111,4.317627
H23,14.905678,4.676675
H24,15.000394,4.6173806
H25,15.230698,4.0758376
H26,15.076017,4.2778897
H27,15.042757,4.153343
H2,14.987616,4.414358
H3,14.981063,4.4761224
H4,15.037561,4.447927
H5,14.931769,4.6150174
H6,14.982492,4.5383883
H7,14.965037,4.0727205
H8,14.9545555,4.384352
H9,15.005921,4.510811
IT11,15.188736,4.3690624
IT13,14.7521925,4.689769
IT14,15.242308,4.5822873
IT1,15.100017,4.715392
IT2,15.303888,4.3517175
IT3,13.22035,5.32752
IT4,14.575666,5.40556
IT5,14.372417,5.4449844
IT6,13.318293,5.6701035
IT7,15.191776,4.431718
IT8,15.328988,4.2056093
MH0002,21.411722,10.8491
MH0003,21.17241,10.809794
MH0006,21.003061,10.230941
MH0009,20.835348,10.286251
MH0011,21.095316,10.728925
MH0012,21.067951,10.79876
MH0014,21.234978,10.577601
MH0016,21.174446,10.468455
MH0020,21.560797,10.494545
MH0021,21.231724,10.341563
MH0024,21.180105,10.536229
MH0025,21.182966,10.505261
MH0026,21.307302,10.323192
MH0028,21.479897,10.608456
MH0030,20.81381,10.346166
MH0031,20.812618,10.250002
MH0032,20.992842,10.321251
MH0033,21.282541,10.582836
MH0034,20.938797,10.204135
MH0035,21.074469,10.653667
MH0036,21.271297,10.430512
MH0037,21.359213,10.428751
MH0038,21.097054,10.435982
MH0039,21.023664,10.394557
MH0040,21.307133,10.459492
MH0041,21.272835,10.655537
MH0042,21.249437,10.5431385
MH0043,21.315222,10.567362
MH0044,21.183466,10.375985
MH0045,21.501122,10.459999
MH0046,20.91203,10.3694105
MH0047,21.27108,10.346302
MH0048,21.12623,10.51865
MH0049,21.259604,10.2599945
MH0050,21.051441,10.557504
MH0051,21.252064,10.333789
MH0052,21.087654,10.347034
MH0053,20.839622,10.209121
MH0054,21.200829,10.322602
MH0055,21.026955,10.56811
MH0056,20.997557,10.674492
MH0057,21.487871,10.4730835
MH0058,21.15738,10.478038
MH0059,21.080217,10.530421
MH0060,21.067453,10.233969
MH0061,21.526539,10.355878
MH0062,21.562212,10.796541
MH0063,20.901476,10.287807
MH0064,20.974707,10.350418
MH0065,20.870113,10.33012
MH0066,21.251642,10.686619
MH0067,21.114054,10.442155
MH0068,21.503286,10.612867
MH0069,21.140194,10.509178
MH0070,21.009697,10.705329
MH0071,21.24991,10.8537855
MH0072,21.435663,10.657434
MH0073,20.884844,10.441032
MH0074,21.59615,10.495195
MH0075,21.158426,10.464783
MH0076,21.20691,10.5677
MH0077,20.998692,10.385683
MH0078,20.888004,10.147215
MH0079,21.249422,10.264985
MH0080,21.148397,10.421633
MH0081,21.044064,10.379245
MH0082,21.092749,10.645037
MH0083,21.22086,10.547699
MH0084,20.921335,10.210351
MH0085,21.304552,10.676333
MH0086,21.024296,10.896469
MH0087,21.460386,10.272173
MH0088,21.412916,10.569072
MH0089,21.35441,10.949916
MH0090,21.172628,10.662197
MH0091,20.947893,10.156357
MH0092,21.567234,10.812829
MH0093,21.335817,10.273557
MH0094,21.214209,10.2656145
MH0095,21.337543,10.399947
MH0096,20.825083,10.181532
MH0097,21.39532,10.395428
MH0098,21.008041,10.440779
MH0099,21.173721,10.495631
MH0100,20.899103,10.564109
MH0101,21.220741,10.683519
MH0102,21.103287,10.69357
MH0103,21.06541,10.229599
MH0104,21.499502,10.6098995
MH0105,21.113222,10.233292
MH0106,21.140276,10.214266
MH0107,21.024666,10.626476
MH0108,21.13847,10.182563
MH0109,21.525438,10.551821
MH0110,21.564573,10.674884
MH0111,21.033747,10.68357
MH0113,21.220325,10.483006
MH0114,21.501858,10.54726
MH0115,20.925823,10.56814
MH0116,20.94541,10.680786
MH0117,20.814589,10.191451
MH0118,20.946598,10.32926
MH0119,21.21044,10.523255
MH0120,21.063877,10.232
MH0121,21.493607,10.55976
MH0122,21.051802,10.597369
MH0123,21.30066,10.80064
MH0124,21.055937,10.724433
MH0125,21.139093,10.586851
MH0126,20.97414,10.350712
MH0127,21.477602,10.3148985
MH0128,21.581892,10.39377
MH0129,20.944931,10.711024
MH0130,20.89588,10.078131
MH0131,21.412912,10.982261
MH0132,20.820866,10.20751
MH0133,21.598703,10.362957
MH0134,21.424992,10.716667
MH0135,21.087282,10.800469
MH0136,21.491844,10.583667
MH0137,20.807049,10.237339
MH0138,20.950283,10.09709
MH0139,21.07286,10.681955
MH0140,21.314537,10.533894
MH0141,20.820312,10.377037
MH0142,21.611347,10.705858
MH0143,20.77489,10.406963
MH0144,20.847395,10.201688
MH0145,21.287949,10.7572365
MH0146,21.611408,10.581742
MH0147,21.39409,10.924939
MH0148,21.278278,10.442254
MH0149,21.55425,10.653818
MH0150,21.617344,10.692949
MH0151,20.870955,10.455085
MH0152,20.773819,10.264541
MH0153,21.385696,10.844132
MH0154,21.185324,10.268772
MH0155,21.315405,10.681763
MH0156,21.58932,10.73541
MH0157,20.824844,10.491095
MH0158,21.224255,10.761773
MH0159,21.37116,10.881912
MH0160,21.00901,10.676443
MH0161,21.243404,10.881394
MH0162,21.375792,10.834838
MH0163,21.019764,10.332916
MH0164,20.83887,10.100742
MH0165,21.055365,10.3460865
