,Dim1,Dim2
MH0177,-28.4669,12.183119
MH0178,-33.808193,9.822551
MH0179,-27.170897,8.208814
MH0180,-32.27284,11.444555
MH0181,-31.867712,10.908766
MH0182,-33.122868,12.495262
MH0183,-34.657597,14.023624
MH0184,-32.80166,13.509725
MH0185,-34.45618,12.3121
MH0186,-31.784986,11.88839
MH0187,-30.951292,11.958299
MH0188,-33.93882,11.631689
MH0189,-20.047104,3.197749
MH0191,-29.283749,10.013776
MH0193,-32.529522,9.272593
MH0195,-33.76946,12.269233
MH0196,-35.885235,13.417173
MH0197,-33.8586,11.463535
MH0198,-32.111095,10.561302
MH0199,-36.762966,13.248485
MH0200,-32.13608,13.121423
MH0203,-33.49868,12.896357
MH0204,-33.90153,12.82835
MH0205,-34.81848,13.711978
MH0206,-36.330437,13.270702
MH0211,-32.16997,14.100917
MH0212,-35.182335,11.341444
MH0217,-33.749126,13.29062
MH0220,-32.416847,10.497331
MH0224,-29.039,11.177497
MH0227,-28.872232,10.20951
MH0229,-32.302116,12.690695
MH0230,-31.766068,11.054153
MH0233,-27.492138,8.96714
MH0236,-32.16207,16.06391
MH0239,-32.879158,9.851508
MH0243,-32.43888,15.884976
MH0244,-29.668922,9.728642
MH0247,-31.928465,9.733482
MH0250,-36.495327,13.680581
MH0251,-35.552937,11.277598
MH0253,-37.35192,11.123133
MH0257,-27.61297,11.053626
MH0267,-34.497017,13.778097
MH0272,-36.220547,12.991488
MH0274,-32.943172,12.81328
MH0275,-33.73514,11.604202
MH0276,-30.063068,11.675978
MH0277,-13.984343,3.9612489
MH0286,-31.98938,11.416038
MH0287,-29.961084,13.01326
MH0288,-29.333704,12.431805
MH0289,-33.712433,13.873394
MH0292,-26.22175,10.888464
MH0302,-28.399086,11.399657
MH0305,-31.515001,9.649024
MH0307,-31.43114,12.429455
MH0313,-29.597809,12.7237625
MH0316,-34.67225,12.514969
MH0318,-30.920404,10.5363655
MH0321,-33.092224,14.739818
MH0322,-31.283875,12.0932455
MH0333,-26.882395,9.927971
MH0403,-37.2368,14.4466915
MH0404,-32.60938,13.39105
MH0405,-33.11389,12.892899
MH0406,-34.917633,11.951549
MH0407,-31.184135,11.131271
MH0408,-35.710045,12.933263
MH0409,-34.46146,12.223827
MH0410,-33.147995,13.448113
MH0411,-33.265186,14.061438
MH0412,-34.73644,13.654363
MH0413,-33.942905,14.016111
MH0414,-31.988783,13.68447
MH0415,-34.353912,10.126313
MH0416,-35.209553,13.861182
MH0417,-37.899986,14.509181
MH0418,-33.770412,13.653546
MH0419,-33.911404,14.209109
MH0420,-32.550392,10.547233
MH0421,-31.754831,12.978496
MH0422,-29.87176,10.554796
MH0423,-29.475206,9.902817
MH0424,-32.724117,12.258672
MH0425,-32.17623,14.026634
MH0426,-35.19035,11.340511
MH0427,-26.957937,9.306148
MH0428,-30.58227,10.958475
MH0429,-30.603819,12.921236
MH0430,-27.608637,9.2785845
MH0431,-32.33771,12.648693
MH0432,-31.293362,12.260282
MH0433,-31.08379,11.42539
MH0434,-35.357605,13.640393
MH0435,-33.897182,13.846973
MH0436,-32.830822,12.015652
MH0437,-30.80624,9.521555
MH0438,-36.30179,12.920677
MH0439,-33.242973,15.9164
MH0440,-35.67204,13.887946
MH0441,-35.67963,12.977153
MH0442,-34.225914,11.824948
MH0443,-35.998184,12.949936
MH0444,-26.601252,9.093955
MH0445,-32.95424,13.678792
MH0446,-33.36222,14.34933
MH0447,-33.750923,14.172205
MH0448,-34.53953,12.184701
MH0450,-37.574028,12.514829
MH0451,-33.635616,10.543811
MH0452,-33.774303,13.29962
MH0453,-35.487373,12.024972
MH0454,-35.417885,12.42052
MH0455,-32.910374,12.4347
MH0456,-29.169703,9.828593
MH0457,-34.125854,14.318893
MH0458,-35.34077,13.3478365
MH0462,-34.71952,13.974174
G17953,5.876107,-6.3887568
G17954,5.4395432,-5.87312
G17955,6.831373,-7.195973
G17956,6.5778327,-7.157088
G17957,6.1459746,-8.341823
G17958,7.924925,-7.774307
G17959,8.162037,-6.576183
G17960,7.531924,-6.5433745
G17961,8.012967,-6.686882
G17962,6.4426527,-6.0996547
G17963,7.5562425,-7.715827
G17964,8.10223,-7.7060614
G17965,5.993731,-7.9697146
G26317,4.336036,-2.175619
G26318,11.035738,-6.4370465
G26319,16.062815,-5.560954
G26320,11.118092,-7.0655236
G26321,13.612179,-9.339718
G26322,9.287842,-5.913904
G26323,9.558904,-4.707798
G26324,10.198622,-7.5776296
G26325,5.8356323,-4.373179
G26326,9.56834,-3.7670238
G26327,9.812569,-3.3593638
G26328,16.005854,-3.1368892
G26329,6.896659,-3.6252406
