Environmental Feature
(dcm) deep chlorophyll maximum layer (envo:01000326)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(srf) surface water layer (envo:00002042)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(srf) surface water layer (envo:00002042)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(srf) surface water layer (envo:00002042)
(mes) mesopelagic zone (envo:00000213) & marine oxygen minimum zone (envo:01000065)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(mes) mesopelagic zone (envo:00000213) & marine oxygen minimum zone (envo:01000065)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(mes) mesopelagic zone (envo:00000213) & marine oxygen minimum zone (envo:01000065)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(srf) surface water layer (envo:00002042)
(srf) surface water layer (envo:00002042)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(dcm) deep chlorophyll maximum layer (envo:01000326) & marine oxygen minimum zone (envo:01000065)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(mes) mesopelagic zone (envo:00000213) & marine oxygen minimum zone (envo:01000065)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(mes) mesopelagic zone (envo:00000213) & marine oxygen minimum zone (envo:01000065)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(mes) mesopelagic zone (envo:00000213) & marine oxygen minimum zone (envo:01000065)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(mes) mesopelagic zone (envo:00000213) & marine oxygen minimum zone (envo:01000065)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(mes) mesopelagic zone (envo:00000213)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(mes) mesopelagic zone (envo:00000213)
(srf) surface water layer (envo:00002042)
(mix) marine epipelagic mixed layer (envo:01000061)
(srf) surface water layer (envo:00002042)
(mix) marine epipelagic mixed layer (envo:01000061)
(srf) surface water layer (envo:00002042)
(mix) marine epipelagic mixed layer (envo:01000061)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(mes) mesopelagic zone (envo:00000213)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(mes) mesopelagic zone (envo:00000213)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(mes) mesopelagic zone (envo:00000213)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(mes) mesopelagic zone (envo:00000213)
(srf) surface water layer (envo:00002042)
(srf) surface water layer (envo:00002042)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(mes) mesopelagic zone (envo:00000213)
(srf) surface water layer (envo:00002042)
(mes) mesopelagic zone (envo:00000213) & marine oxygen minimum zone (envo:01000065)
(srf) surface water layer (envo:00002042)
(mes) mesopelagic zone (envo:00000213)
(srf) surface water layer (envo:00002042)
(mes) mesopelagic zone (envo:00000213)
(srf) surface water layer (envo:00002042)
(mes) mesopelagic zone (envo:00000213)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(srf) surface water layer (envo:00002042)
(mix) marine epipelagic mixed layer (envo:01000061)
(mes) mesopelagic zone (envo:00000213)
(srf) surface water layer (envo:00002042)
(mes) mesopelagic zone (envo:00000213)
(srf) surface water layer (envo:00002042)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(mes) mesopelagic zone (envo:00000213)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(mes) mesopelagic zone (envo:00000213)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(srf) surface water layer (envo:00002042)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(mes) mesopelagic zone (envo:00000213)
(srf) surface water layer (envo:00002042)
(mes) mesopelagic zone (envo:00000213)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(mes) mesopelagic zone (envo:00000213)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(mes) mesopelagic zone (envo:00000213)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(mes) mesopelagic zone (envo:00000213)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(srf) surface water layer (envo:00002042)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(mes) mesopelagic zone (envo:00000213)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(srf) surface water layer (envo:00002042)
(srf) surface water layer (envo:00002042)
(srf) surface water layer (envo:00002042)
(dcm) deep chlorophyll maximum layer (envo:01000326)
(mes) mesopelagic zone (envo:00000213)
(srf) surface water layer (envo:00002042)
(srf) surface water layer (envo:00002042)
