taxon
motu_linkage_group_1
motu_linkage_group_3
motu_linkage_group_6
motu_linkage_group_7
motu_linkage_group_10
motu_linkage_group_11
motu_linkage_group_12
motu_linkage_group_14
motu_linkage_group_17
motu_linkage_group_18
motu_linkage_group_19
motu_linkage_group_20
motu_linkage_group_21
motu_linkage_group_24
motu_linkage_group_25
motu_linkage_group_26
motu_linkage_group_28
motu_linkage_group_29
motu_linkage_group_30
motu_linkage_group_31
motu_linkage_group_32
motu_linkage_group_33
motu_linkage_group_34
motu_linkage_group_36
motu_linkage_group_37
motu_linkage_group_39
motu_linkage_group_40
motu_linkage_group_41
motu_linkage_group_43
motu_linkage_group_45
motu_linkage_group_46
motu_linkage_group_49
motu_linkage_group_50
motu_linkage_group_53
motu_linkage_group_54
motu_linkage_group_55
motu_linkage_group_56
motu_linkage_group_63
motu_linkage_group_65
motu_linkage_group_66
motu_linkage_group_68
motu_linkage_group_70
motu_linkage_group_71
motu_linkage_group_72
motu_linkage_group_73
motu_linkage_group_77
motu_linkage_group_79
motu_linkage_group_80
motu_linkage_group_84
motu_linkage_group_85
motu_linkage_group_87
motu_linkage_group_89
motu_linkage_group_92
motu_linkage_group_95
motu_linkage_group_96
motu_linkage_group_98
motu_linkage_group_100
motu_linkage_group_102
motu_linkage_group_103
motu_linkage_group_105
motu_linkage_group_107
motu_linkage_group_112
motu_linkage_group_115
motu_linkage_group_119
motu_linkage_group_120
motu_linkage_group_123
motu_linkage_group_124
motu_linkage_group_126
motu_linkage_group_127
motu_linkage_group_133
motu_linkage_group_136
motu_linkage_group_139
motu_linkage_group_141
motu_linkage_group_142
motu_linkage_group_146
motu_linkage_group_150
motu_linkage_group_151
motu_linkage_group_152
motu_linkage_group_153
motu_linkage_group_157
motu_linkage_group_158
motu_linkage_group_159
motu_linkage_group_162
motu_linkage_group_163
motu_linkage_group_166
motu_linkage_group_167
motu_linkage_group_168
motu_linkage_group_169
motu_linkage_group_170
motu_linkage_group_171
motu_linkage_group_173
motu_linkage_group_176
motu_linkage_group_177
motu_linkage_group_178
motu_linkage_group_180
motu_linkage_group_185
motu_linkage_group_189
motu_linkage_group_191
motu_linkage_group_192
motu_linkage_group_194
motu_linkage_group_195
motu_linkage_group_196
motu_linkage_group_197
motu_linkage_group_198
motu_linkage_group_199
motu_linkage_group_200
motu_linkage_group_201
motu_linkage_group_202
motu_linkage_group_203
motu_linkage_group_204
motu_linkage_group_205
motu_linkage_group_206
motu_linkage_group_207
motu_linkage_group_208
motu_linkage_group_209
motu_linkage_group_210
motu_linkage_group_211
motu_linkage_group_212
motu_linkage_group_213
motu_linkage_group_214
motu_linkage_group_215
motu_linkage_group_216
motu_linkage_group_217
motu_linkage_group_218
motu_linkage_group_219
motu_linkage_group_220
motu_linkage_group_221
motu_linkage_group_222
motu_linkage_group_223
motu_linkage_group_224
motu_linkage_group_225
motu_linkage_group_226
motu_linkage_group_227
motu_linkage_group_228
motu_linkage_group_229
motu_linkage_group_230
motu_linkage_group_231
motu_linkage_group_232
motu_linkage_group_233
motu_linkage_group_234
motu_linkage_group_235
motu_linkage_group_236
