Method,Trustworthiness,Continuity,KNN Preservation,Normalized Stress,Bray-Curtis Corr,Aitchison Corr,Jaccard Corr
PCA,0.8364721987592112,0.8793871785162963,0.3762589928057554,0.6152693629264832,0.6201526248766742,0.3713371628282718,0.4483463824583139
Jaccard PCoA,0.7652054874319167,0.7696443654792765,0.30071942446043165,0.991858580474149,0.672777730660248,-0.10273797822840117,0.828876485150255
MDS,0.8134622666239478,0.8414062272449248,0.35035971223021584,0.3505322072679322,0.41491228117041357,0.4440688816930316,0.20236815267125913
t-SNE,0.921236128506102,0.8988844551888853,0.5539568345323741,0.8327670097351074,0.4240232889448553,0.45692479313336515,0.29799724734813116
UMAP,0.891963999650482,0.8725075000728162,0.46690647482014386,0.9623234272003174,0.5365905617909552,0.09266379211107349,0.4870078678186827
PaCMAP,0.9300032039146011,0.732618763288964,0.4920863309352518,0.8204156160354614,0.6418156041950821,-0.10585566115823654,0.7790961821253604
PHATE,0.8561209332129438,0.8805522383712463,0.45611510791366905,0.9981568428325462,0.46196704345157036,0.061640796130663984,0.42567986778306355
SONG,0.9306323362362742,0.8724608976786182,0.5086330935251798,0.9640044569969177,0.5336787485309705,0.2680981174671236,0.4868914524139421
