,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
Candela_Africa,-2.7006795,-2.5379658,3.8821993,1.4575254,-7.2303267,-4.983011,10.6267395,0.4399813,-0.33936056,5.3285117,-0.9731472,2.1503043,-2.1697607,0.6375879,0.8932672,-0.789142,-1.1441811,0.7718367,-0.64042103,-4.280619,0.19639976,3.0117784,0.28362006,-1.4413443,3.7080204,-0.031878095,-0.24219647,-1.625465,0.92916876,0.7457999,-1.8070495,-2.9592757,3.4949744,-2.3961964,0.8721951,0.6745804,-0.342642,-0.55469173,0.3718939,-1.9036604,5.3007817,4.18639,0.2591108,-2.2612627,2.1375313,1.2430471,-0.06246349,0.33894798,-2.3578088,-0.16979475
Candela_Africa,-0.4269092,-3.332518,2.782064,0.57843006,-3.403383,-4.835731,11.837272,-3.8627644,0.31026062,3.8834069,-1.648238,-0.6096734,-4.243187,0.49630827,2.1405354,0.112423606,-1.0340788,1.6436317,2.49772,-5.6431575,0.73923314,1.5849909,0.41353562,-2.649926,1.2489998,-1.5401574,-1.3882345,0.86465544,0.35589653,-0.8277622,-2.2754068,-1.9049249,2.0780923,-3.7126913,-2.7021813,0.81053734,-0.5710093,-1.9564605,0.9954279,0.051416446,3.4810672,1.4231615,-0.6448144,-1.65785,4.5670333,-0.77560943,-1.916971,0.57930577,-3.305895,-1.8271365
Candela_Africa,-1.3643951,-7.690749,5.200849,-2.1999648,1.177071,-7.5810676,9.601062,-0.709501,-5.5454874,0.42454985,-1.334413,1.0758138,1.7945853,-2.6440928,-4.666225,0.12039994,-0.26396152,0.35683835,0.31416434,-1.5010233,0.046817027,4.984857,1.5003428,0.23088817,3.4131274,0.8438783,0.54063433,2.7957456,1.4544977,0.6795677,-0.6809491,-2.2195597,2.2859595,-5.4753265,-0.7288538,-1.056827,-1.1156411,-1.0339923,0.7810505,0.90744877,3.8165467,0.94922626,3.1919093,-1.9952223,2.8142505,-0.6610263,-1.2087128,-0.431763,-3.0583267,0.49260947
Candela_Africa,-6.2975235,-5.430991,3.8334882,0.24399903,-2.8960197,-2.9969213,5.868359,-0.952789,-1.4261842,5.487317,0.79912865,0.07914977,1.0377376,0.14532849,0.16451472,0.63340443,-0.6995627,-1.7359099,-0.40333974,-1.1893603,0.73081917,3.0035696,-1.5608536,-0.012702363,2.1672955,-0.045079783,-1.2478632,-0.3116363,2.3306766,2.1897163,-0.7078407,-2.489302,0.4685534,-2.2349095,-2.7031264,0.36862093,-1.1430736,0.4652253,-0.07399859,-3.9941409,2.3619392,1.1731747,1.7126693,-2.976469,0.6394377,1.9863144,0.8939991,-0.1575261,-1.348019,1.8545243
Candela_Africa,1.4944149,-5.424106,2.5952153,-3.7516403,-6.9826536,-5.612608,9.743874,-0.39478323,-2.4970741,1.3994527,0.75671947,2.1608179,1.8557369,-0.16084544,-0.25181964,-4.2845817,-0.91617304,4.2664733,-0.607607,-0.76330125,3.9589424,2.6769714,-0.46241757,0.33813736,5.4502506,0.9875855,-1.8696147,-0.7901334,0.87115324,-0.8360124,0.32244524,-2.929737,2.9838078,-2.4904695,-2.16718,1.9718795,-0.95906454,-0.9342612,-0.2233996,-0.014672611,2.1503816,-0.63731563,-0.9480715,-0.7878552,2.2372067,-0.94249886,-1.3494325,-0.61128354,-2.036429,0.17170337
Candela_Africa,2.2540083,-0.2177975,3.5845664,2.1756966,1.0757171,-6.5446095,14.791664,1.0111896,-0.8212476,2.6272376,0.3366025,2.1124077,-1.3580797,0.7386234,0.5918469,-5.088147,1.6213746,1.9020127,0.81988454,-1.8848025,3.4384165,-0.15969361,-1.7962015,-0.59364223,2.1004658,-1.9401091,-1.4746424,-0.94358134,4.368753,-1.2099929,-2.7761478,-2.815515,1.1534972,-6.138029,-2.7967699,-1.4621278,-0.98750764,0.62327516,0.013199559,1.438004,2.1083255,0.13164215,1.5457554,-3.7701614,5.249441,1.8189317,-0.15882292,1.5758406,-6.4517527,-1.3297033
Candela_Africa,-6.3831716,-5.0817842,3.5262494,1.46069,-0.40151608,-2.2250226,5.114545,-1.4363295,-0.7049914,3.94481,2.1139467,0.94798076,0.48235717,1.6885182,0.70388454,-0.2837692,-0.3701464,0.21507283,-0.664728,0.65202636,0.73627263,1.3696399,0.4167121,0.71569276,3.1879725,0.9084004,-0.66804785,0.0354943,2.2463095,-0.7262156,1.2016263,-2.135637,1.1287473,-2.4284196,-1.3763599,-0.5734861,-2.005519,-0.759419,0.42292917,-1.1061157,-0.31355897,1.2191556,3.144698,-3.1314611,1.229366,0.103234895,-1.2805756,-0.10367068,-3.3094132,1.4022874
Candela_Africa,-4.1380525,-7.1795964,5.4946933,0.52331364,-0.68041056,-4.487015,4.922399,-0.83844185,-1.9566653,2.655736,-1.6098894,1.7996031,1.1448469,-1.2816904,-0.09779124,0.7326693,-1.8687788,-1.778651,0.17111412,-3.4088213,-0.26713815,3.6734872,-2.4326544,-0.34095436,1.049193,0.4457185,-0.86677647,0.9373967,3.5640013,0.8682775,0.51743245,-0.8125856,1.4420354,-4.4189086,-1.2385905,-0.090428606,-1.7623532,-0.72639686,-1.4704534,-2.170439,3.3784666,0.8915763,2.6966102,-1.7239851,2.5317316,0.76666117,-1.8637806,-0.47556713,-3.0535524,-0.8307934
Candela_Africa,-5.955101,-5.447241,0.84206516,-3.3956792,-3.6847594,-1.175553,5.025773,-5.301218,-0.06643673,4.0443764,1.32618,-1.763599,1.2915188,0.55818677,-0.0012033718,-0.8126219,-1.1887853,-0.8841428,-0.9291207,-0.14456959,1.2065963,0.91022116,0.35653314,0.027724555,1.188384,0.33549714,-0.54876614,-3.0524597,-0.047065005,1.0727558,-0.08313148,-1.3150195,0.11425139,-1.4285083,-0.6275792,0.59364235,-0.7252388,-0.4643452,1.1475338,-1.761644,1.811201,1.0716807,2.4292789,-1.4765183,0.36344728,0.48679185,1.0724444,-0.45271608,-1.8677827,1.5583801
Candela_Africa,-2.3792453,-3.17592,4.2679925,1.7351286,-1.8192644,-3.0522466,7.9619637,0.12557632,1.2565712,3.7196662,-0.4371339,3.6973023,0.6594456,3.4409602,-1.1748645,0.07392086,1.5904328,0.09971619,-2.3857136,-2.2013845,3.051539,4.600684,0.11942345,-0.7344621,4.0933466,1.9795394,-1.3834121,-1.0780027,0.6413969,0.7990014,-1.2206781,-3.2167168,0.15881984,-0.41990796,-0.9988452,-1.5236728,-0.51420474,0.6594612,0.053544,-0.9550374,1.4740176,1.3558677,2.8230648,-2.0041728,1.8551866,0.5755716,-0.13089505,1.2508959,-2.4174712,0.53419155
