seed,nmi,ari,sil
0,0.2889032116333557,0.136846695893681,0.1291123777627945
1,0.268229565037426,0.12495124632131334,0.15148483216762543
2,0.22631947132029018,0.07358484712160464,0.1293257772922516
3,0.20206832559787727,0.08269642251643756,0.149425208568573
4,0.23189895982242426,0.07893240706848077,0.13857071101665497
5,0.28192583085506345,0.12128143809424785,0.13719716668128967
6,0.3263813444909491,0.1714069017823284,0.14964626729488373
7,0.3125683259783298,0.15986520137312354,0.14986233413219452
8,0.25874982218785886,0.11902956192680277,0.14076197147369385
9,0.30109096203104063,0.14377084130541737,0.13879065215587616
