Method,NMI,ARI,Silhouette_cosine
KMeans (Jaccard PCoA),0.36691104459109447,0.1964617236813976,0.11997825652360916
KMeans (MDS),0.19712497881605506,0.08423424503200135,0.06481963396072388
KMeans (PCA),0.27398012748762574,0.12096024455194365,0.09671115130186081
KMeans (PHATE),0.25803732845510813,0.07966038489209988,0.0925976112484932
KMeans (PaCMAP),0.2643833750257745,0.13148684933782037,0.1415661871433258
KMeans (SONG),0.3093173618741206,0.1602439612857804,0.14928850531578064
KMeans (UMAP),0.24721582215355345,0.09950340261173442,0.10147159546613693
KMeans (t-SNE),0.3080849585386325,0.17662004625332348,0.13578170537948608
KNN+DMoN,0.3089061565471266,0.155774725781178,0.11944348365068436
KNN+MinCutPool,0.2334904045641593,0.14200077627474375,0.10611827671527863
