,Dim1,Dim2
MH0185,13.812106,5.631729
MH0186,14.15961,4.2348423
MH0187,15.4314375,5.0282555
MH0188,14.338828,5.6356297
MH0189,15.856336,5.0813713
MH0191,15.01142,5.2930145
MH0193,14.258664,4.822201
MH0195,14.775981,4.8271217
MH0196,14.4788065,5.4324284
MH0197,15.046962,5.864105
MH0198,14.236051,5.0387077
MH0199,14.075849,4.5041046
MH0200,15.164889,5.5977592
MH0203,14.16735,4.529333
MH0204,14.146724,5.6334114
MH0205,14.003993,4.5925846
MH0206,14.091407,5.5187893
MH0211,14.332023,5.5661983
MH0212,14.157487,5.235058
MH0217,14.274142,5.6423454
MH0220,14.715186,5.13999
MH0224,15.4158945,6.0506344
MH0227,14.529237,4.151119
MH0229,13.796847,5.4919987
MH0230,13.965411,4.6798153
MH0233,14.5883665,4.3947105
MH0236,13.721646,5.608719
MH0239,14.248914,4.4834843
MH0243,15.863553,5.6331596
MH0244,15.128156,4.663086
MH0247,14.298007,4.294958
MH0250,14.367967,5.8055077
MH0251,14.832614,5.137457
MH0253,14.377137,4.8362923
MH0257,15.793546,5.378048
MH0267,13.865809,4.75082
MH0272,14.321942,5.102255
MH0274,14.338817,5.365488
MH0275,13.777677,5.431473
MH0276,15.801908,5.756342
MH0277,15.389766,4.671255
MH0286,14.957532,5.9647713
MH0287,13.827455,5.6621284
MH0288,15.773683,5.824154
MH0289,14.25336,5.2897644
MH0292,13.726596,5.4104652
MH0302,14.774997,4.4356995
MH0305,14.193677,4.3974304
MH0307,15.252719,4.6637993
MH0313,15.737754,5.147278
MH0316,15.074006,5.2069397
MH0318,15.301484,4.848419
MH0321,15.708585,5.453472
MH0322,15.711835,5.3439293
MH0333,14.105281,4.253916
MH0403,14.34303,4.745981
MH0404,15.218879,5.1440315
MH0405,15.650809,5.8744926
MH0406,14.192054,4.615406
MH0407,15.720313,5.853771
MH0408,14.189826,5.836582
MH0409,14.844886,4.929983
MH0410,14.356971,4.272732
MH0411,13.714255,5.585842
MH0412,14.107844,5.76589
MH0413,15.60402,5.808731
MH0414,15.620297,5.594532
MH0415,14.413556,5.6291847
MH0416,14.214921,5.5098476
MH0417,14.649394,5.7495117
MH0418,14.345256,4.491314
MH0419,14.146653,4.9223213
MH0420,14.024411,5.3408775
MH0421,15.770032,5.9090233
MH0422,14.494397,4.787012
MH0423,14.757783,4.9416504
MH0424,13.791596,5.519842
MH0425,14.428311,4.6954384
MH0426,14.2031355,4.6865387
MH0427,15.996772,5.321514
MH0428,15.602159,6.061182
MH0429,15.700442,5.3872185
MH0430,15.925263,5.485422
MH0431,14.071103,5.678692
MH0432,13.954951,4.6092033
MH0433,14.2370825,4.6208076
MH0434,14.341834,5.970789
MH0435,14.16207,4.333027
