Method,Trustworthiness,Continuity,KNN Preservation,Normalized Stress,Bray-Curtis Corr,Aitchison Corr,Jaccard Corr
PCA,0.8865949710025589,0.9251418583870633,0.07955678670360111,0.5890071392059326,0.5990286711003352,0.23759419230023332,0.5753486972567051
Jaccard PCoA,0.7618370479059844,0.8739464763995779,0.05191135734072022,0.9936648556467843,0.7064246885702633,0.06345333554432055,0.7534898100970618
MDS,0.8809494576393837,0.8781842604255732,0.07698060941828255,0.3201561944353264,0.43728838338632203,0.33842392596358506,0.3679580473269547
t-SNE,0.9584877172688807,0.9762805594419606,0.32113573407202217,0.3887884318828583,0.5547805595496373,0.1161177618817613,0.5170459706616806
UMAP,0.9425944377162863,0.9755702483287602,0.19166204986149585,0.7257039546966553,0.5213487942362629,-0.00758964866610785,0.48598594695582376
PaCMAP,0.9457100934060154,0.954240747155646,0.1668421052631579,0.7029957175254822,0.5766125219582463,0.1584204545518743,0.5215323952636159
PHATE,0.9243115193302788,0.946312776252115,0.13562326869806093,0.9996109968324866,0.3493198545359567,0.11070755950213142,0.319625932706986
SONG,0.9491865496262565,0.9636864184239619,0.1786703601108033,0.7785303592681885,0.4666850194517099,0.23580283858519085,0.4206557006833445
