,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98
H10,-7.525263,-4.060461,-6.7963486,0.6987107,0.9303872,-5.2073994,1.849579,-7.847608,8.170792,6.6570163,2.3857996,-1.9402813,-3.239008,0.51844746,-2.7409174,1.2947805,1.0660024,-1.6548094,-3.4284372,-6.264522,-0.3911828,0.79332376,-0.5894622,3.1207383,0.97063863,1.615777,2.9564152,-1.0570929,2.658525,2.8699281,-1.1011044,1.9169352,3.5288997,-1.7183608,2.5556722,-3.356775,-3.7888646,1.20273,-1.5944594,-2.7701435,3.8069847,-4.40839,8.269469,-1.5774328,-2.4800043,-3.1804898,-3.2888944,-0.7305057,1.5006016,1.5262567,-0.8849083,0.8062914,-0.63621336,-2.9630504,-1.2103505,-2.406644,3.4151297,1.8776602,1.285447,-0.56073856,0.7711687,-1.9367652,0.52998245,0.71678877,0.5327076,1.2059293,-0.6356581,-2.1358917,2.7967398,0.12720124,-0.97198224,1.6683128,-0.15592353,2.536384,0.2242868,2.4085283,0.6048667,-1.8865253,-0.9092244,-0.87810117,-0.90743405,0.44909334,0.6228518,1.2714832,-1.0827447,-0.053157326,-0.82311064,-1.1533887,1.1309307,0.61119,1.016331,-0.71237326,1.0400199,-1.0186021,1.4724251,-3.209043,-0.92592716,-0.9550727
H11,-6.767716,-7.819556,-2.2395988,1.4469455,-2.2071488,-8.123113,1.5915653,-4.2818384,5.0284357,7.7758,3.3804257,-0.5557868,-1.9622735,-1.2344221,-0.27840737,0.89965653,-0.24019429,-0.81001484,-1.1501232,-5.334436,-2.4288259,0.96863097,-1.5733547,1.7073877,-1.1429964,1.5202603,1.1816348,-0.03757307,1.7848533,4.053941,-1.173101,2.3289807,4.9918594,-2.5286572,1.9033344,0.45147565,-1.7928407,-1.0952067,-0.57214624,-0.16884074,1.3496144,-1.2553393,3.4249012,-1.0355725,-2.2158582,-0.6100053,-1.6285776,-0.66587454,-0.97378373,1.4537396,1.9267867,0.7094563,-2.062359,-2.002091,-0.98316944,-3.0691266,-1.178337,1.4422712,1.8182318,0.26405397,0.53753006,-3.5170965,-0.4712034,0.8493228,2.2635317,-0.008069928,-2.2545822,-0.09690897,3.507841,0.34112498,-0.7796175,2.447266,-1.6899703,1.3112358,2.7395115,1.8053862,-0.4713585,-0.17550452,0.25623143,-1.0358534,-0.7822742,0.44462442,1.032232,2.2423325,-0.82608235,-1.3153943,1.0272588,-0.120930135,-0.9470932,1.0569648,0.25129685,0.9108707,0.3357715,-1.5815309,-0.78371006,-1.6329447,-3.8745253,-0.30647954
H12,-5.362018,-7.3076773,-3.049936,2.050932,-2.3298287,-10.470909,2.149426,-3.8570776,3.8913991,5.5510044,2.6398528,-1.2036991,-1.4936717,-0.20442815,-0.10746594,0.6899558,-2.165316,-1.1409736,0.0036261063,-5.7224555,-1.4885862,0.44900858,0.92414844,1.4652698,-1.1558192,2.215893,0.038317002,0.30615464,0.30697954,4.101611,-3.1679459,2.538875,4.000689,-2.0185616,0.5765656,-1.603061,-2.1040747,-0.35047036,-0.49385083,0.9413038,0.2692418,-0.62059796,1.543645,1.8764794,-0.78713393,-0.7595793,-1.6654125,-0.44741288,1.3674535,1.1538465,0.35328734,1.1479834,-1.4436623,-1.0828105,0.1950851,-0.94048077,-0.17606895,0.85192794,1.260025,-0.13483243,-0.5395269,0.027702091,1.518943,-0.7614271,1.6090388,0.70874316,-0.7246291,1.324964,-0.6937711,0.20919749,1.2612971,1.2762915,-1.3705602,0.22594039,2.3816838,0.69212115,-1.0383356,-0.5117268,0.15309933,-0.86885536,-0.2264447,-0.16955401,-0.5051766,0.89267963,-0.6697981,-0.21457595,0.27883506,1.3911202,1.9737171,1.6455568,0.758478,1.7262067,1.483031,-2.2344599,-2.103961,-0.8392099,-1.1068213,1.465055
H13,-7.0671825,-3.9053535,-3.4770856,6.454257,-7.52059,-1.745999,6.591505,-9.098054,2.0915406,4.657945,1.6894882,3.8837018,-0.21456598,1.5188322,0.91924,-4.695832,-3.290644,-1.271287,1.7316067,-0.061205827,-1.8339378,-0.16929398,0.08430046,4.752461,1.6704253,3.792566,3.7414258,-2.045535,2.9581025,2.1038017,-4.07998,-1.9291303,0.43920058,-5.7203827,0.54013443,2.6746962,-2.2175622,-1.4129797,0.83432287,0.4204871,-0.88081235,-3.1060665,2.545498,0.5909473,-0.2830869,-3.9181755,-1.8306043,-1.1258622,-1.7126895,0.6821864,2.0919,1.2208537,-1.5420591,-2.3180046,-1.46658,-5.1373286,2.130711,0.0103134895,1.1733071,-0.38771614,2.0785098,2.2233722,1.8194062,-3.152219,-0.4555808,1.5431916,-0.021747898,-1.2893829,2.6324196,0.97253084,-0.45322412,2.4119315,1.0895717,1.5459789,3.1293507,0.16224486,-0.6014536,-3.041474,-2.0277338,-0.7758378,-1.2155915,-1.4873713,-1.5856142,1.0031952,-0.29720864,0.8809884,-0.62353647,-0.74301463,-0.36286005,-1.040019,1.5027784,0.52660525,0.07332769,1.1329019,-1.4435809,-2.620369,-0.67430395,2.5370061
H14,-7.856323,-3.2361479,-4.923387,5.3952217,-2.0887742,-0.17531422,5.7998586,-10.494245,4.0562963,3.8088837,2.6672516,2.9012759,-1.8080583,1.088535,1.1127962,-3.471714,-3.46941,-4.137026,0.12851939,-2.4435635,-4.962597,0.49441877,-4.5519767,3.6126819,3.398035,0.15747647,5.168613,0.23359527,4.8620663,3.629388,-2.0886996,-2.9790783,-0.8100963,-4.4832296,2.9220107,6.117622,-1.2578033,-1.9216398,2.9014187,-1.156086,0.29805696,-1.5570332,6.4107723,-0.36924955,-1.2618366,-6.1324005,-2.2611117,-0.5840422,3.3966844,-1.4536778,4.918915,-2.5182087,1.7427952,-0.2614711,-4.347782,-2.0334122,0.7913952,-0.91215914,2.9282084,-2.1715467,0.18419018,2.6427891,0.3305164,-0.5372839,-1.3429164,-3.4940338,-0.8083015,-1.8644806,2.228378,2.4214497,1.6450436,-0.8983003,-1.9452834,-1.8831118,0.17428523,1.0243226,-0.6156811,-2.37967,-2.8517866,0.88489187,-0.628708,-2.042648,-1.2082725,-0.8078743,-0.5647661,3.2247436,-1.0316842,-0.32431525,-0.63520175,1.7237667,-0.3267739,0.09414614,0.10739108,1.1751237,-1.0505408,-1.2624813,-0.14112698,1.7940083
H15,-5.636442,-6.414788,-2.9143033,4.516455,-6.706887,-6.205416,4.2384396,-6.392667,0.6004406,2.5998917,3.0075366,3.6564257,0.8333741,0.90320194,-0.8333161,-3.0061355,-5.6585436,0.79914075,0.7333909,-0.8452295,-1.2747391,-1.366235,1.4707026,2.064146,-0.8389794,3.8068156,-0.5479499,0.7650699,2.758742,2.1175468,-2.5517755,-0.39815137,2.9493608,-3.726208,2.853233,-0.9911691,-2.628766,-1.5178052,-0.14503455,0.029766167,-3.0951169,-1.3739557,3.04296,0.34011233,-0.5038628,-0.70947033,-1.2124587,-0.13727322,2.0544896,0.66164744,-0.89854896,-0.8825711,-2.432418,-0.36105552,0.33702686,0.11960885,-3.8174877,-0.48182392,0.7969648,-2.184484,-0.70197594,0.33000767,1.6576729,-1.7428623,0.6328876,1.0300621,-1.1832025,-2.3178792,2.3407218,-1.3266662,0.72407854,-0.9105855,-2.438275,0.7763293,-1.405674,0.488415,0.46852356,-0.8586409,0.6070626,0.19063215,-1.9240963,1.6674138,-2.2506633,-0.6653168,0.5795015,0.6634882,0.32816356,-0.7241896,-0.22182,3.3936718,1.5029172,-0.40987903,-0.8055757,-1.4563458,-1.2582443,-1.8174065,1.8965744,-0.102510266
H16,-8.836469,-3.7752602,-5.587201,1.3899586,-4.1168933,-7.594647,3.2744238,-10.374554,9.254237,5.9444866,-2.4513924,-0.39797807,-5.611316,-6.1337323,-2.0988998,-6.4570165,-0.7167614,3.7286344,3.5801876,-0.14209183,2.7143621,0.9233495,-0.68967825,6.116482,-2.315706,3.3170393,2.006693,-1.7272158,4.419548,2.1468413,-4.92533,-0.7958686,1.1273223,-2.0208492,1.1597322,2.6925604,-2.5705264,-0.18760057,1.9492502,-3.2427115,1.181394,-0.7122506,4.656168,0.13250004,-1.6750239,-4.697345,-2.0258176,-1.9799925,0.4970701,1.6541762,0.7503272,1.2712319,0.069718175,-0.6406485,-0.89061326,-3.827989,1.4364052,1.300002,-0.90151405,1.3057437,-1.2954314,2.0888596,4.19651,-0.16390045,-0.07738422,-3.165521,-2.1612732,-0.060118746,1.5781257,-1.8476088,1.7827337,3.562634,1.0948473,-0.56555843,0.7364972,0.31904143,-3.309912,-2.7602956,-1.9314821,-0.5555641,-1.1282759,-1.8421565,1.5031401,3.0975537,-0.83627415,0.51349235,0.118589945,0.9129956,1.9227282,-1.8146042,0.68569493,1.1827265,1.7868017,-0.77183837,-2.0145833,-1.5820893,-1.7901926,-0.35861248
H17,-10.2608385,-2.16323,-3.2523227,3.58458,-3.139085,-1.685629,6.6967826,-11.435397,4.8107224,4.342611,2.7714746,0.35716143,-1.3578126,1.0892156,-1.396826,-2.9508183,-0.7146628,0.07217925,-0.013898864,-0.68865776,-5.37469,-0.26746345,-4.416376,3.0740948,1.1255635,3.2253015,0.8725601,1.8265067,4.0411577,0.35480383,-2.1140296,-0.0805894,0.39888698,-1.4764972,1.4282913,2.7994835,-1.5558375,-1.8947814,2.5950582,-2.5565069,1.079293,-2.4721105,1.8938857,0.27225378,-2.4873414,-2.834466,-1.2362331,-1.8055722,2.3888824,0.10236135,3.5611136,-0.6113985,-1.2980556,-1.5006773,0.7427368,-0.26288706,-0.43148866,0.74828964,-0.37181985,0.25442192,-0.31124023,0.65091133,0.774453,0.89107424,0.09219619,-1.6047872,-0.84659636,1.0072796,0.83403254,-1.7533934,0.6436074,-0.23991536,0.87971604,-0.92713106,-0.16781384,-1.2823391,-1.5885913,-0.21795307,-2.3537333,-0.84416956,-4.1080537,-1.5794672,-1.1856916,0.9018728,2.8524957,3.4005313,-1.0879214,0.40170532,1.8784399,-1.2791669,-1.0266298,0.7343916,-0.8447966,-1.6147963,-0.40365687,-0.07276978,-0.4481234,0.90849644
H18,-8.427961,-3.3306265,-3.7503996,2.7864902,-4.199858,-4.5604653,6.5439134,-12.499245,5.6356225,5.9752975,1.7990572,0.9740002,0.08294791,1.7806456,-0.30779862,-1.0407945,-1.2393048,-1.4201176,1.9149305,-3.9792356,-5.767233,1.7345667,-2.8961115,3.0684423,-1.6420636,-1.7896929,-0.24260074,0.65918666,3.6684186,1.7577239,-0.7822404,-0.090727024,0.944059,-2.3942351,1.2401816,7.250375,-1.188788,-1.8777981,3.9589634,-1.1050762,2.814306,-2.2897358,1.1510414,-0.11324661,0.048455827,-5.2589755,-1.0067875,-1.70761,-0.26841155,0.42322773,1.1625625,-0.26402226,-0.31329736,1.0626941,2.9102,0.6431171,2.2649894,2.6964335,3.302879,0.39219087,-0.389174,-0.7931121,-0.22244196,-2.2350554,0.094197296,-2.4807222,0.76095426,-0.17718635,0.36547807,-1.1895934,1.4439632,-1.7304692,-0.44403583,-1.101614,3.5000083,1.5182396,-1.4437354,-1.5715996,-1.5425515,0.31302208,-0.3024705,-0.19557098,-0.71391386,-1.0426614,2.160015,2.1576736,-0.37730163,-0.55636644,-1.2520822,-0.6531117,0.66002524,1.4734877,0.28702992,1.0157464,-1.3179941,0.38636556,0.9487552,0.70510733
H19,-6.0313606,-6.0997567,-2.808612,1.7210325,-4.651394,-10.645086,3.2481575,-3.351631,5.3391414,5.520032,2.3071148,1.0021603,-0.6514439,-0.485291,0.9500088,-2.1157968,-3.72917,-0.94204545,-1.8927976,-6.88367,0.1812259,-3.4375432,2.7493024,1.125718,-0.23969384,5.191467,2.0398228,-0.6632596,-0.3213027,5.484418,-3.461848,2.7995517,6.7103934,-3.6637774,0.11791151,-0.9713095,-1.4954172,-0.98671407,0.18909438,1.683427,0.48095754,2.464812,2.8344536,1.167388,-0.5476,-1.2423218,-2.6668243,0.33061236,1.3800982,0.45574293,-0.39118674,0.2522572,-3.3126833,-0.7631387,1.3147928,-0.34681374,0.02802969,-1.4443518,1.3790785,-0.44840357,0.8272414,0.18325636,1.9341882,-0.07933118,2.214998,0.8881274,-1.1754347,-0.22427897,0.67824453,0.652813,1.6227489,0.08842589,-2.1910343,-0.6997827,1.7227769,-0.6669858,-0.066778906,1.125836,0.50218576,-0.7475756,-0.641223,1.6011555,-0.010293058,1.1306334,-0.93112856,-0.80222744,-0.442129,0.33780962,0.8325921,2.7724118,-0.021182833,1.5303484,0.59219867,-0.70349586,-0.40760228,0.16656071,-0.2187672,0.42611217
H1,-4.3848696,-5.160078,-5.389628,1.6223525,-4.442193,-11.208715,5.743793,-5.144202,2.6938093,3.0913527,5.449445,-2.2387164,-1.49597,0.5410692,-1.3415512,1.6864126,-0.23850515,0.11245026,-0.5348208,-2.069789,-1.2916913,2.375498,-2.2828238,4.7966247,-2.444261,3.197134,0.853503,-1.8106269,0.24346833,1.9214294,-2.385855,1.0610566,2.1904144,-0.6940867,2.9181323,-1.7595094,-2.0603068,-1.6875355,0.1920682,-0.34563738,-1.5719265,-2.282692,5.3796554,2.3206751,1.6542469,-1.7824825,-1.2466019,-1.4300677,-0.17442493,3.0992262,0.71670365,1.0859284,-1.5626453,-1.8078194,-1.75841,-1.2331402,-0.28516448,-1.1078991,0.60356545,-0.10501372,-0.6884438,-0.33216915,3.154503,-3.3686266,3.3067508,0.14203395,-1.8637506,-1.263302,2.0952632,0.503844,-0.72578675,1.1602373,-1.7618676,-1.5968974,0.3176808,0.2615033,0.21311355,-0.7854813,0.2922417,1.6339612,0.17575897,1.6937257,-1.784024,0.55797255,0.6010604,1.3597635,-0.3409375,1.4239262,1.3716093,3.5890713,0.7045582,-1.2651403,-0.36541635,-2.9636765,-0.5281167,0.6590425,1.4977701,0.72922194
H20,-5.843569,-4.9251695,-4.1711626,2.831549,-3.5319602,-7.193884,5.195353,-9.443033,1.2613541,1.8676237,3.7693913,-1.1750122,0.62436694,0.9166456,-4.0334306,2.3522751,1.1386806,-0.44798982,-0.3869332,-0.9066657,-4.148744,3.1280675,-3.7738516,3.593609,-2.7477326,0.4475846,-0.3081068,0.6455627,2.0276399,0.8146467,-2.0011477,1.032591,2.353619,-2.1554403,4.201059,2.4016428,-1.7074115,-2.0716944,0.2905309,-1.4972173,-1.4047794,-3.311812,4.0656905,-0.860215,-0.1222826,-2.3075178,-0.24963841,-0.24005088,2.237478,2.7301183,-2.0782022,2.4064076,-3.6270964,-2.0076811,-1.7414672,0.04800525,1.0570061,0.11017322,2.8855686,0.75978565,0.31108627,0.7399963,4.9602113,-3.262185,4.1127863,-1.5667225,-1.6696254,-2.0687923,1.6133257,-0.5404554,0.14146851,0.5775092,-1.6043702,-1.620627,2.3975742,0.7970533,1.4438443,-1.8836035,-0.5069616,-0.56959444,1.9218004,-1.6423801,-1.3936155,1.2057925,-0.5681112,-0.021681897,-0.41951117,1.4185431,1.5050813,1.7748725,0.3250791,0.4849375,0.74250996,-2.1970308,-1.2448316,-0.7512222,-1.5961767,2.0655372
H21,-5.6426644,-8.482242,-4.212921,4.8619213,-5.911007,-1.9695097,5.287792,-6.659038,2.6456873,9.515342,0.42356145,-0.54082406,-1.3895528,-1.1010503,-0.52330744,-4.174714,-4.447698,1.2082146,-0.0001737168,-1.1726654,-1.5246087,1.2850714,1.5496329,4.299614,-1.0655315,3.8977253,0.8520503,-0.4490193,2.2017198,0.046899777,-1.6781359,-1.6439426,2.6113555,-2.3545074,3.0903032,0.78151435,-4.043796,-0.9127615,0.4007768,-1.8741528,0.8585893,-1.3829026,2.679991,1.2565386,-2.4728796,-4.4118958,0.12875961,-1.3627986,1.5688112,-0.17267373,-0.17973663,0.7623431,-1.0687042,-1.8878427,0.8507274,-1.6738505,1.2176124,-1.9577954,0.9694592,1.0376043,-2.7201536,1.7635114,1.2923425,0.04428265,-0.5398997,-2.8975928,-1.3913342,0.17069007,0.58062816,-1.9562924,1.7273227,0.86153716,-1.6674262,-1.6942835,0.74906445,-1.0913329,-0.6329989,1.2358972,-1.1688379,-0.7673525,-1.9509368,-1.3428799,0.07275283,1.02757,0.65338475,1.0126693,-0.3053453,0.4726237,0.73407733,-0.20855553,0.81737816,0.7970027,1.237455,-1.5590194,-1.1395755,1.1585687,-0.09135133,0.37122917
H22,-1.3773553,-8.476989,-6.100248,4.0834966,-4.222551,-6.5132184,2.3154502,-3.1702592,-0.28411508,2.8138564,5.885105,-0.11313585,-0.8236231,-0.93033445,0.555451,0.5890438,-2.1915126,0.61126757,1.8346388,-0.0713037,0.106765896,0.8778438,-0.019280756,3.5287597,-1.1913118,1.2282629,1.3190066,-2.447688,1.0007395,3.8710196,-3.5145814,0.0033374808,3.2210338,-0.7974509,1.2980032,2.5410602,-0.025860682,-0.72448754,-0.889353,1.2757726,-1.6676059,1.4309225,2.402445,1.1015661,-1.1552325,-1.9984409,-2.3414176,-1.8218613,-1.9310806,2.1589897,1.9347302,-0.28955564,-0.097731225,-0.7960068,0.48827752,-2.3788095,-1.5288738,-2.4598923,0.18323614,-1.95994,-0.15056632,0.75522554,0.3444917,-1.7691526,-0.35089326,-1.6310644,-1.9217254,-0.3886806,0.69535404,-0.9193355,0.5146433,0.58098346,1.4531689,-0.8163154,-0.43115819,-0.6791779,2.5060709,1.5970334,0.039198805,0.43401912,-0.08771656,0.72341466,-0.34211475,1.4073538,0.1127772,1.7382743,-0.009546997,1.2789161,0.40305644,2.488708,0.91635627,-0.22065997,0.15592685,0.08347501,-2.5658102,0.7581056,1.0102623,0.0492094
H23,-7.128647,-5.218148,-0.67507267,4.089647,-7.1939287,-8.388943,7.010788,-4.114475,2.5279274,3.653572,1.2827709,0.59965706,-1.9043801,-0.9620723,1.6470094,-1.1616459,-0.39121187,-2.6701617,-3.1838875,-3.819518,-3.1696522,-2.34878,-0.22689691,3.9398177,-2.2016375,5.0153465,1.6343987,-1.2217426,-0.455893,2.6641076,-1.39673,1.6951063,3.0398805,-3.4678326,2.6558805,0.5060137,-0.7493882,0.042622466,-0.14127102,-0.53973055,-1.303723,-1.0902525,2.5603755,-1.8881909,-0.9034563,-0.7688868,-0.33988085,0.7488027,1.9708825,1.1098524,-0.88498867,0.34151515,-2.1968384,-1.2927728,1.0060812,0.06365656,-1.3160421,-1.8253431,1.8678901,-1.1268045,0.80838233,0.18688092,2.9219556,1.6577128,2.3515515,1.1635892,-0.81318194,-1.4495686,2.7161748,0.07674444,1.5547392,-1.1544365,-0.27884784,-1.0443463,-1.1609298,0.5101052,0.8485149,1.2849579,-0.47215018,-0.071559384,-1.7468742,2.174353,-2.5499637,0.24584837,0.89171124,0.82329476,0.44042224,0.84578633,-0.19388025,2.0948021,0.7619846,0.06279033,0.8056011,-0.25410864,0.77495563,0.046758484,1.3941104,0.21748553
H24,-8.449994,-2.212564,-7.051231,0.7170888,-1.6231867,-4.4371514,6.161144,-10.587111,6.9866624,4.596143,3.1317484,-0.5720227,-3.0466442,-0.3239599,-1.605796,0.8235997,-0.33475292,-5.273704,-1.936826,-1.9388852,-2.2062354,-1.6499211,-2.0150442,1.6992363,-1.570419,0.7589396,-0.29605508,-1.8624471,0.5527004,2.8843267,-5.4128284,1.0717051,0.86723477,-3.2941074,3.7839918,3.6393797,-3.9619207,-2.2302337,0.2716837,-0.34838456,2.9236207,-2.0283124,2.3894114,-1.4441254,-1.5590619,-4.2286954,-0.98074245,-0.8589106,1.5572103,1.8795059,1.2705383,5.314865,-0.24196129,-4.1749816,-0.40835413,-1.136837,-0.36360455,0.7952882,2.6993322,-0.2211404,-1.7586062,0.7774433,3.9315815,0.6569284,-0.26570916,-0.6373505,-0.6434967,0.4828433,3.227465,0.034877278,2.862354,0.5232452,0.86059153,-0.09506938,-0.17346606,-0.6961614,-0.9608405,-1.1817617,-1.5291522,-1.2042056,-3.2010312,-3.0843904,-1.1520483,0.48123127,0.07609616,1.4075518,-0.5660336,0.39710882,1.1168673,-1.8286691,-0.28171566,0.9376531,3.2270617,-1.21863,0.18558136,-0.81217235,-4.1549416,2.3589773
H25,-1.5197785,-8.27989,-7.2700953,4.110123,-2.4997294,-4.6741033,1.1706868,-3.4074829,-0.60579485,1.9724965,4.5052977,-0.043133274,-2.389742,-1.126572,0.46673268,2.1254845,-1.7637925,-0.2975413,1.4942598,-1.8826895,-1.0305734,0.3589339,1.6771289,1.0433024,-0.9768796,3.0547943,0.8922914,-2.5928571,0.51360565,3.214225,-1.4435141,0.8906996,2.1396224,-3.078467,1.3446311,1.6936764,-0.26889473,-0.97885895,-1.1005267,-0.78599,0.22411704,0.029013162,-1.0853976,0.5674071,-1.9601667,-3.630301,-1.2280213,-1.5559157,-0.24081248,-1.1894479,0.5621131,0.14445288,-0.1918144,-1.7276769,-0.69531655,-2.1982505,0.21057405,-1.7132221,1.1183573,-1.506705,-1.0553063,1.2398859,1.5038806,-1.9194009,-0.36329976,-2.0436096,-1.517375,0.4664852,1.1285878,-2.3240964,0.08013864,1.3116146,-0.437987,-0.40210775,0.3235378,1.2504373,1.754039,2.109409,-1.5442023,0.1961592,-0.8321175,0.019066768,-1.5435438,0.97492087,1.3111421,1.4299104,-0.5755156,0.81208414,0.94523036,1.884123,0.5258336,0.055220667,0.8148601,0.24528466,-1.7673124,-0.21419948,-0.4033782,-0.4747053
H26,-3.3367553,-9.187288,-5.090782,3.6972568,-4.3961716,-3.9617896,1.7380563,-3.2874923,-0.3605209,5.7570686,3.5573251,-3.316524,-0.9926378,-2.0803983,0.10684469,-0.4521153,-1.7220653,1.207714,0.60939676,0.72147137,0.073549576,2.0386002,-1.5542313,4.1046653,-1.0648657,0.26052293,2.8735204,-2.159446,1.9643589,3.4148989,-2.125224,-1.548859,1.214238,-2.369657,2.0292861,2.0797017,-2.0749056,-0.0016371738,0.200807,-1.085337,-0.32188484,1.3985837,3.438531,0.31831178,-1.7791,-3.4347415,-0.472898,-2.71124,1.3647994,0.79182357,-0.4201147,1.4628748,-0.35936153,-0.397155,-0.59452134,-1.8014307,0.1729141,-1.976347,1.6126544,-1.0922258,-1.4865714,0.18231608,1.8353616,-1.5413748,2.0579622,-4.5423694,-2.426336,0.32605538,0.09550311,-1.2826067,1.5600784,0.5430255,-0.6179161,-2.8149028,-0.008215062,-0.15981133,2.497179,-0.72985864,-0.10058704,1.6521475,0.26321036,-0.34144086,-0.12723699,1.2517358,1.4132864,0.86733216,-0.13247819,1.3644676,0.17939033,2.37904,-0.13059758,-1.5750021,1.0581397,-2.288938,-1.1288924,0.46697104,0.5999869,0.15498194
H27,-1.1066428,-8.076086,-4.349159,6.477705,-5.3573956,-5.739561,2.8149269,-3.6199603,-3.920423,-1.8639623,3.4748597,1.632173,0.9191075,0.165625,0.9307547,0.27260622,-2.4339058,-0.61804783,0.5713689,-1.1113979,-0.41514984,0.22086082,-0.071566276,1.5396378,-0.65356296,0.7520144,-0.2749308,-2.949767,-1.8364929,2.648469,-0.7194204,0.72160095,2.5038602,0.4669108,1.3055888,0.85140127,-0.013905426,-0.78041285,-1.1951616,0.26864415,-1.5348493,-0.3774576,1.0063196,1.8583018,-1.1699935,-1.9684687,0.26532164,-0.8355746,-0.5767602,1.1594763,2.1125197,0.074155994,0.47627503,-1.2243954,0.107921205,-1.3122376,-0.6454929,-1.6414106,-0.43698516,-1.7776861,-0.5596138,0.63424224,0.5732076,-1.1646616,0.19037676,-0.32622486,-1.556335,-0.63146824,0.14487566,-0.21305524,0.51973194,0.99304444,-0.5119297,0.98005897,-0.015078253,-0.39238688,2.0609884,0.5837061,0.45271137,0.93038267,0.33397967,0.11229276,-1.2472143,0.57872516,-0.6101171,-0.004916714,-0.13942528,0.42414522,0.56803757,0.6014659,0.5906777,-0.35126844,-1.1684598,-0.12552333,-0.13936006,0.17493416,0.55367434,-0.34178314
H2,-4.3776455,-5.574406,-6.303674,2.0805817,-3.0039852,-6.170155,2.3166976,-5.0729733,2.25348,2.3043919,4.1033564,-3.4880743,-3.7656596,1.4613218,1.6007605,2.1237667,-2.3196423,-0.26943484,2.8741493,-3.1542044,-0.64375186,-1.0612415,-0.42488912,5.913879,-2.2316828,3.3029983,1.7349349,-0.8641792,-0.6912414,1.7848431,-3.0386484,1.1957715,3.1256611,-0.41972944,0.4641452,0.9953726,0.31578454,-2.1648161,-0.05779482,0.0783263,1.1849099,-0.8949776,0.829331,0.60571456,-1.4841727,-3.2510996,-0.6488679,-2.1332433,-0.68468755,-0.22774114,0.71123135,1.4757438,-0.10464891,0.53736633,2.0889108,-3.975407,-1.451641,-3.0460172,0.4230567,-3.7763221,-0.07514323,1.9016713,0.773003,-0.8719217,-0.69482124,-0.45237195,-1.2779102,0.0046481057,0.3294249,-0.35035896,0.5923844,0.3822946,-0.9037221,-2.710003,-1.7002109,1.3729887,0.38306016,3.9049723,-0.24738704,0.80016375,-3.357817,0.29410368,-1.3374585,-0.07460022,3.3932521,3.1207075,0.33424222,2.850325,2.6112683,0.5705046,0.7001513,1.5136793,-0.45701775,0.41736272,0.3948968,2.9770195,1.7902181,-1.0018026
H3,-8.809912,-4.494027,-1.9835783,4.2509704,-6.5991197,-5.9859376,6.165823,-10.518011,2.8803682,5.424113,2.3310864,3.360006,-0.75170916,0.805435,-2.141902,-1.0145139,-2.6871603,-0.61213577,1.9181736,-2.2969446,-3.3640282,-3.0684786,-0.06390206,2.4086967,-1.3463317,5.635055,-1.4428207,-0.21598499,-0.075971164,1.095137,-4.1678004,1.7083749,4.0514493,0.04123706,-0.70297426,3.9978144,-0.65415627,-2.5626934,0.4671081,-1.497697,0.21881431,-3.2933226,2.8136723,2.0623405,0.83238274,-2.8873937,-2.989171,-0.80983424,-2.9298306,3.7081325,3.2703295,0.25746897,0.98966074,-3.5013223,2.720058,-1.1610922,-0.8927696,-0.9644923,0.74832517,0.6948941,0.28459176,0.8309321,1.8884231,0.55635333,0.7770385,0.20130838,0.37755454,-0.6901856,3.7798758,-1.4049271,0.31249446,0.9754716,1.8317378,1.6808981,0.8742277,1.2389075,-0.5288705,0.6965351,-0.35378605,-0.5877545,-1.1336474,0.20281363,-1.6269764,0.19829999,1.5473773,1.6746995,0.62473434,0.22331499,1.0351584,0.9795421,1.8550618,0.45255116,0.13802846,-0.057649896,-1.1424619,0.71588326,1.7351109,0.9876574
