,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98
S131,-15.927973,3.0766916,-4.4269423,-0.52086794,0.5844328,11.89017,3.7374637,-3.1051285,-3.6045337,5.308514,2.282611,-3.8963492,-3.3380156,-2.407041,1.2793603,-1.2162714,0.30025238,1.9087236,-3.0775805,6.3443193,5.6977587,2.519651,-6.106259,0.8353844,-5.268775,0.45599395,-3.4842288,3.3444724,5.336024,-0.9210423,3.824999,2.5156639,2.2547011,0.08368097,0.48982608,-3.7349267,-1.189823,1.1878321,-1.9793789,3.3864105,-3.9905288,4.752688,0.11160958,0.3916607,-3.8701918,3.7698092,0.3127374,-1.048713,1.2225736,-1.3351865,0.38163272,1.7808125,-1.3673537,1.7981265,-1.4428662,0.27834317,-0.3120562,1.7415693,-2.521489,3.4922981,0.95861804,-0.54872507,-1.8281354,-0.10364071,-1.7468373,-2.5341446,1.0563605,-4.537203,0.29699028,-0.96548533,-0.039344802,0.53863305,-1.5846078,-2.3023758,-0.24991207,-1.0938432,-3.2872229,0.21512672,-0.59504944,-0.23333316,2.02365,1.5673991,0.26814327,-3.7230618,0.30994657,0.3943321,-1.3793439,0.92711973,2.809559,-1.8964231,-0.5628987,0.6695378,-1.4057534,3.2806017,-1.7192758,-0.19416577,-0.16717476,1.943486
S137,-12.177865,0.7032922,-2.5759058,2.5257087,-5.268571,2.2588234,6.7625585,0.285717,-3.0552106,3.2587345,0.76045907,-1.0195935,-4.98527,-1.0451317,-1.5773566,0.21694244,4.275448,1.8182367,3.0344813,6.5938916,1.0592865,1.6181386,-3.7550874,3.8695598,-1.717155,1.8992721,-2.8217826,-1.2451206,0.1984725,-4.484877,2.4190295,2.5573266,0.7055312,-0.5291522,0.13683277,-0.21749026,3.753035,-0.05717864,3.0322502,2.1178546,0.6384053,-1.445376,-1.2545112,0.48305318,2.2832506,-1.8714944,-2.8194923,1.039998,0.6697002,1.7901906,0.6945287,-0.15323207,-0.667734,-0.0033384685,-1.6247387,-0.8611596,-1.5710726,-2.7733786,-2.1634946,-3.1285954,-0.48246825,-0.070850186,-0.38258976,-2.2559826,-0.044425678,0.57293326,2.9181817,-2.5346956,-1.4862995,-0.9768768,-3.6041558,-1.7132689,-0.35966203,-3.2675095,1.8453085,-4.3723173,-1.0863669,3.0195987,-0.64080614,-0.45023364,-0.87893546,1.8230604,-3.7505903,-1.0541356,0.63476926,0.89049435,1.3461413,1.8165334,0.18573044,0.18200228,-1.3395467,1.3449225,0.38189414,1.9582973,0.58945966,-1.697931,1.372495,1.6920649
S141,-19.313488,4.482295,0.7268271,1.5080264,5.27622,6.8949,0.503027,-3.6725318,-1.2334117,-2.9840105,-5.5527477,3.6676865,-1.5337006,-1.0184678,-1.2414874,4.6026907,-6.0806713,-1.2979814,2.0318844,-2.060034,-1.9841977,-1.7793086,-0.33235607,3.2359526,2.5930772,-2.412363,-0.68251026,2.8981621,-2.5533552,1.5968844,4.4836707,-0.76632565,2.8109515,-2.0416534,-2.0139873,0.33552548,-2.8409812,3.0719345,-3.1502142,1.2174379,2.8116438,-2.385677,-4.82497,1.451822,-0.2726056,-2.953117,-4.747041,2.9463222,-0.08341218,-1.3130999,-2.5730815,1.2051406,6.4367085,3.9703772,3.7887444,-1.4294918,-2.6204119,-2.1922443,-0.8530806,-1.985568,0.5874359,1.1658405,2.5024004,0.02858777,3.2026281,1.066543,0.031259015,0.19521958,-0.59934896,-1.6121157,2.2720582,-0.92221725,-0.6394981,1.5426683,-2.6147978,-0.21447098,2.21728,1.2875797,-0.21769786,1.3723764,-0.064733006,3.1593945,0.8003875,1.8519722,-0.81506896,4.2891536,-0.74277204,2.700475,2.0249257,-2.0444279,-1.2470205,-1.1357881,1.6075821,0.4869483,-0.8598366,-2.7218218,-2.2382276,0.01366684
S143,-16.762146,4.8052664,-1.749266,-1.9758096,1.2099876,7.2442226,-0.2990074,2.6736274,-0.73723227,0.9825244,3.0952463,-0.59691495,-5.7264614,-0.5638275,0.9331797,2.113164,-4.9315615,0.61401224,-4.0815516,0.9580843,2.6854749,2.6719575,-2.904426,4.2200723,-2.1224287,-5.135775,2.7092893,-1.2531344,5.7738743,-1.1980726,-4.627671,-4.583489,-2.685162,1.2887149,0.8628595,1.0017995,0.382472,0.031278595,1.9064655,4.2751145,2.7344568,-0.8068751,-1.0428191,-0.39506704,-1.3651949,-1.9701957,1.1066319,3.7756193,2.7023907,2.4019516,-4.064555,0.42652074,-0.09061102,4.6099744,0.955555,-3.1395628,-0.51151043,2.7271535,2.7196598,4.329312,0.016238412,3.0069966,5.29948,-0.6137492,2.5566823,-1.6745642,-0.35141525,0.7952831,-2.4732347,2.500491,0.50858974,-1.1729283,1.5109862,-0.12628883,-4.4598665,4.8146677,1.4689484,-3.6390908,1.846119,3.45127,2.1066096,3.2744987,-2.4003131,-3.7016702,2.8421066,-3.2589583,-0.961424,4.324208,-0.3610831,4.0064983,3.466266,3.2437663,-0.9997103,3.4283707,-2.575302,-2.7344546,0.75146824,1.4785755
S144,-14.888989,4.602054,-5.955491,0.054270033,3.810613,12.938063,-1.5120773,0.3642352,-6.575709,2.4264796,1.9445704,0.47458878,-0.4344975,-0.23548177,1.341422,-2.857811,-0.50460947,5.609949,-7.178487,3.5621243,-1.9857473,2.4092062,-3.3767204,2.8294609,-3.3223445,-3.611173,-0.9058994,2.0195034,4.0658503,-5.455932,1.4455868,-1.3205197,2.0599258,-2.4061987,4.1791124,-3.48422,-2.2868931,0.44130027,-0.3227989,1.7367798,-0.216869,-3.3840365,6.0829353,0.5756389,0.62226653,1.6257416,-2.458848,-0.51675713,0.71989673,-0.6593832,-2.099751,-1.1122651,3.313865,-1.9651386,-2.9902956,0.093365274,4.0747323,2.1400418,-2.4827855,1.5380875,1.839156,-0.8610844,-0.113784,2.1230419,-0.09213645,-1.3781035,4.945484,-4.751904,-1.8363624,-3.2237096,0.4540524,-0.7617367,2.9895048,2.1699395,-1.2349783,-1.7208911,-1.9874225,1.7625233,2.5769517,2.7455428,-4.1994524,0.7328801,0.045564897,-0.6591008,4.491178,-1.4281527,3.3695538,-0.3766767,-0.0804319,2.237065,-2.7913184,1.0882106,-0.6586187,-1.1146201,2.5163505,0.35973373,-4.2620854,3.4988122
S146,-15.509842,2.2552693,-7.395853,-2.9565754,9.727809,7.9155455,-1.9481518,-5.9416924,2.1310897,5.333925,-1.5226946,-6.0866146,-5.149291,-1.5656785,-1.4710621,1.1905419,1.0697442,-0.46962675,3.1045563,-2.5412545,0.46338454,-0.32334232,-2.613205,2.281534,2.392793,3.045703,-2.3380928,1.6867819,-1.2723546,0.6500204,0.5952168,4.222806,-5.7036066,-2.308535,-0.8178813,-1.3111467,-0.7931026,3.4031174,-2.339476,0.8827489,4.266835,3.8861978,-3.2102292,-2.1389725,-4.175105,-0.25922567,-3.487956,0.70382947,3.2379878,-4.4808707,-0.9843969,-2.0824935,0.77324057,4.2942266,-2.7960353,1.1620125,1.5391629,1.8176467,-2.0858402,-2.3848767,0.8781727,1.3690399,-2.2359984,-0.7553976,-8.565681,-3.6916025,1.8218474,-1.1651992,-4.3724184,-1.6528282,1.2652872,-0.08110273,2.5930612,-0.68162495,-0.5426985,-1.0903627,2.844568,-3.1402056,0.4547885,0.1132685,-4.9938674,-1.0564831,5.909904,0.76619023,-1.9487888,-3.6112692,-2.6051905,1.7649422,-0.74343336,-0.15826027,-3.0910213,1.9859853,-1.7087269,3.3605099,-2.9303916,-0.4198709,-2.7040708,3.8046358
S153,-21.420002,4.7532578,1.5101366,-0.19625983,3.8317912,11.941355,-0.6629325,-3.7854507,-0.2185819,0.9333829,-8.912067,-6.1915174,-1.1153283,-7.4661174,0.66906774,-1.167108,2.7633533,-5.259028,-0.41721472,-1.5168959,-0.31783748,-1.3307709,-7.206039,0.54007256,-2.2091718,-0.14132895,0.64876896,1.4466977,3.3429105,0.8496429,3.0148754,2.2165627,-1.2817959,-0.75696534,0.34583142,2.3838272,1.0247679,0.1572403,-2.1077287,4.152112,2.305881,-0.65638363,0.53004426,-0.036286473,-2.0259793,-1.2117596,0.1526862,2.0382771,-2.1737044,-2.7578835,1.42666,4.3866024,1.2223723,0.18049374,2.0019023,-0.2240414,1.507639,3.8342097,-1.67736,1.3023934,-0.5371253,-4.664721,-0.879438,0.32757854,-3.2861953,1.425382,-2.7282896,-1.6892129,1.6405721,-1.0986025,-1.9107296,-0.07784113,0.58671063,-0.4432675,2.8600035,4.3299727,-5.2150636,3.4790826,-0.17650472,0.44670838,2.4495254,-3.121937,1.4356588,1.9165218,0.7776263,-2.8364663,-3.2654443,-0.09522178,2.0849192,-0.58862966,-0.82193637,0.78551644,2.162189,-1.3279129,-3.9361541,-0.9376744,-3.842827,-1.9119408
S155,-16.999807,6.4149394,-2.041069,-1.6298335,3.8955793,10.044917,3.0721462,3.0464482,-3.388638,-0.71839446,5.805139,-0.11241351,-2.526798,1.8247784,1.0995175,2.8111947,-2.647108,-0.35363978,-1.9073223,-0.4824018,4.342867,-1.8104174,-1.5417145,-3.165385,-1.4494145,0.040342137,1.472788,-5.972156,4.9301934,-0.820969,-0.78439194,1.3067832,2.4314942,1.279936,-1.1329917,-5.3916087,-0.72170526,-6.3925323,-0.6576726,-4.755063,3.126669,2.0637739,-2.6318796,-0.48699355,1.5636036,-2.0901937,1.4373015,0.28600502,0.4592196,5.0471373,0.016538171,3.3339067,-0.4324267,1.7603122,-1.4100957,-0.89747524,-0.26518604,-1.6526175,0.35958686,1.0449371,-2.1270573,3.8493211,1.2219319,-0.8689725,-2.7735186,2.4813855,-4.98412,-4.709151,0.21567996,1.3187,-0.0004803236,1.9256885,2.543204,-0.42050672,-1.1985152,-2.1174686,-1.4369673,0.6161591,-0.8745998,-1.589181,-1.4620659,-0.6925861,-1.1053165,4.576417,-0.28096318,-0.57897437,-1.6502424,3.480653,-0.3964754,-1.5561775,1.3050203,-0.3251191,-0.4268449,0.3590925,-0.035385933,0.7347428,3.0737832,-3.2544856
S158,-18.958176,7.2583694,1.8155514,-1.904175,1.0657873,5.068159,0.8131998,5.724446,-5.436768,-1.8720468,3.2067237,2.4132152,-4.2949157,0.8034968,-0.7192334,3.292826,-1.7244136,2.4742,-8.373942,0.5077315,-0.5967636,2.029971,-1.5149279,3.5664167,-2.3465247,3.6575286,3.3947434,1.6499485,-0.33769473,0.1832636,-0.053363346,0.45769334,1.5286956,1.1549046,-3.2064505,-0.20977317,-0.07982465,-2.3535776,0.60011405,-0.522013,1.4185604,-2.7901607,0.76130563,-2.8044567,1.5808327,1.6587996,-4.5956016,2.9057288,0.07480051,0.240819,-0.9282713,-0.5720405,2.202272,-2.6650052,-2.2881691,-4.0996637,-1.6514281,3.069684,0.47520775,0.25308082,2.2414944,-1.197187,0.40081304,2.7328727,-0.9689417,1.0806999,-5.2531075,1.5520726,-3.460898,0.8542809,-0.79107064,-4.202613,-1.6096939,-0.91162086,-0.16497222,1.6205932,0.11848053,0.6396862,1.8271668,-2.0660172,-1.6464394,0.7284163,1.9314682,0.44624826,-0.9488348,-3.6039648,-0.88699365,0.974175,2.6716077,-2.2849457,-3.1602595,0.38779736,-1.543115,1.764723,-1.821961,-1.4156332,0.47926462,-2.2302012
S186,-18.569567,2.687648,-1.7610269,1.9714433,2.6868064,18.17356,2.3369908,-4.098635,-4.232209,4.794017,6.0973115,-1.1784195,-2.1592455,3.4255738,-4.222832,4.4985433,1.7143892,-3.240391,-1.0246376,-1.2834473,-4.6375217,1.8599107,-0.6032256,0.24799086,-3.8942933,-1.8260337,-2.148774,2.2366762,1.2656456,-1.2171593,3.3116295,-3.977585,-4.08823,-2.1839244,-0.32026392,3.8667731,-2.0021968,-2.4419315,1.6274163,1.656515,9.062815,-0.23328461,-1.1136569,-0.4323886,3.1587937,3.3390975,-0.5994528,-0.4957265,-0.6644929,-1.2360194,0.7133102,1.6202245,-1.6014509,1.0215998,-0.26075596,0.021755312,0.18771477,2.3467722,0.6983457,0.14846998,3.3650134,1.0861869,4.6195827,-2.4046957,-0.26582143,-1.2858617,0.1214335,-0.16860825,-1.4146491,-2.7694507,-1.3732686,-2.2896528,3.7515614,0.34031317,0.13241123,-3.1078413,-1.2666979,1.1984506,-1.5193409,-0.33483347,1.3743693,-1.3865321,6.0256433,-1.9558911,-1.8617753,-1.3016841,-1.598494,0.60962373,0.61175483,0.52280754,-1.3182687,-1.9988619,0.7054048,-2.6678817,-0.9062814,0.50929815,-3.3010104,0.569182
